* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:05:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_2_7_20161202.eds
* Experiment Name = ERCC_2_7_20161202
* Experiment Run End Time = 2016-12-02 13:58:48 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

13	B1	11	Target 1	0.794	0.068
13	B1	12	Target 1	0.867	0.136
13	B1	13	Target 1	0.996	0.261
13	B1	14	Target 1	1.219	0.480
13	B1	15	Target 1	1.583	0.840
13	B1	16	Target 1	2.109	1.362
13	B1	17	Target 1	2.771	2.020
13	B1	18	Target 1	3.507	2.752
13	B1	19	Target 1	4.260	3.501
13	B1	20	Target 1	4.978	4.215
13	B1	21	Target 1	5.643	4.876
13	B1	22	Target 1	6.243	5.472
13	B1	23	Target 1	6.761	5.986
13	B1	24	Target 1	7.218	6.439
13	B1	25	Target 1	7.604	6.821
13	B1	26	Target 1	7.930	7.143
13	B1	27	Target 1	8.213	7.421
13	B1	28	Target 1	8.457	7.661
13	B1	29	Target 1	8.657	7.858
13	B1	30	Target 1	8.824	8.021
13	B1	31	Target 1	8.958	8.151
13	B1	32	Target 1	9.079	8.267
13	B1	33	Target 1	9.174	8.358
13	B1	34	Target 1	9.270	8.450
13	B1	35	Target 1	9.343	8.519
13	B1	36	Target 1	9.412	8.584
13	B1	37	Target 1	9.455	8.623
13	B1	38	Target 1	9.496	8.660
13	B1	39	Target 1	9.541	8.701
13	B1	40	Target 1	9.565	8.720
14	B2	1	Target 1	0.675	0.007
14	B2	2	Target 1	0.676	0.004
14	B2	3	Target 1	0.676	0.001
14	B2	4	Target 1	0.678	-0.001
14	B2	5	Target 1	0.684	0.001
14	B2	6	Target 1	0.686	-0.001
14	B2	7	Target 1	0.689	-0.002
14	B2	8	Target 1	0.696	0.001
14	B2	9	Target 1	0.708	0.010
14	B2	10	Target 1	0.732	0.030
14	B2	11	Target 1	0.769	0.063
14	B2	12	Target 1	0.833	0.124
14	B2	13	Target 1	0.953	0.240
14	B2	14	Target 1	1.160	0.443
14	B2	15	Target 1	1.502	0.781
14	B2	16	Target 1	2.004	1.279
14	B2	17	Target 1	2.643	1.914
14	B2	18	Target 1	3.361	2.629
14	B2	19	Target 1	4.105	3.369
14	B2	20	Target 1	4.821	4.082
14	B2	21	Target 1	5.483	4.740
14	B2	22	Target 1	6.075	5.328
14	B2	23	Target 1	6.596	5.845
14	B2	24	Target 1	7.051	6.296
14	B2	25	Target 1	7.438	6.679
14	B2	26	Target 1	7.758	6.996
14	B2	27	Target 1	8.037	7.271
14	B2	28	Target 1	8.273	7.503
14	B2	29	Target 1	8.476	7.702
14	B2	30	Target 1	8.645	7.867
14	B2	31	Target 1	8.791	8.009
14	B2	32	Target 1	8.910	8.125
14	B2	33	Target 1	9.013	8.225
14	B2	34	Target 1	9.087	8.295
14	B2	35	Target 1	9.162	8.365
14	B2	36	Target 1	9.225	8.425
14	B2	37	Target 1	9.291	8.487
14	B2	38	Target 1	9.342	8.535
14	B2	39	Target 1	9.386	8.575
14	B2	40	Target 1	9.412	8.596
15	B3	1	Target 1	0.647	0.011
15	B3	2	Target 1	0.647	0.006
15	B3	3	Target 1	0.647	0.001
15	B3	4	Target 1	0.651	0.000
15	B3	5	Target 1	0.655	-0.001
15	B3	6	Target 1	0.660	-0.002
15	B3	7	Target 1	0.665	-0.001
