* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	OUTLIERRG	HIGHSD	CQCONF
36	C12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	12.437	12.550	3.957	12,306.936			27.716	0.998	-3.736	85.226	true	0.349	true	3	7	Amp			N	Y	N
37	D1	false		Target 1	STANDARD	FAM	NFQ-MGB	20.037	20.103	0.060	100.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	14	Amp			N	N	N
38	D2	false		Target 1	STANDARD	FAM	NFQ-MGB	20.127	20.103	0.060	100.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	14	Amp			N	N	N
39	D3	false		Target 1	STANDARD	FAM	NFQ-MGB	20.043	20.103	0.060	100.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	13	Amp			N	N	N
40	D4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	10.909	12.550	3.957	31,567.992			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
41	D5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.142	12.550	3.957	27,346.926			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
42	D6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.264	12.550	3.957	25,359.830			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
43	D7	false		Target 1	STANDARD	FAM	NFQ-MGB	20.166	20.103	0.060	100.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	14	Amp			N	N	N
44	D8	false		Target 1	STANDARD	FAM	NFQ-MGB	20.171	20.103	0.060	100.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	14	Amp			N	N	N
45	D9	false		Target 1	STANDARD	FAM	NFQ-MGB	20.071	20.103	0.060	100.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	14	Amp			N	N	N
46	D10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	13.614	12.550	3.957	5,957.095			27.716	0.998	-3.736	85.226	true	0.349	true	3	8	Amp			N	Y	N
47	D11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	13.909	12.550	3.957	4,965.470			27.716	0.998	-3.736	85.226	true	0.349	true	3	8	Amp			N	Y	N
48	D12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	13.804	12.550	3.957	5,298.986			27.716	0.998	-3.736	85.226	true	0.349	true	3	8	Amp			N	Y	N
49	E1	false		Target 1	STANDARD	FAM	NFQ-MGB	23.832	24.075	0.359	10.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	18	Amp			N	N	N
50	E2	false		Target 1	STANDARD	FAM	NFQ-MGB	23.870	24.075	0.359	10.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	18	Amp			N	N	N
51	E3	false		Target 1	STANDARD	FAM	NFQ-MGB	24.792	24.075	0.359	10.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	18	Amp			Y	N	N
52	E4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	10.618	12.550	3.957	37,760.324			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
53	E5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	10.982	12.550	3.957	30,171.773			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
54	E6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	10.890	12.550	3.957	31,944.070			27.716	0.998	-3.736	85.226	true	0.349	true	3	6	Amp			N	Y	N
55	E7	false		Target 1	STANDARD	FAM	NFQ-MGB	24.021	24.075	0.359	10.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	18	Amp			N	N	N
56	E8	false		Target 1	STANDARD	FAM	NFQ-MGB	23.932	24.075	0.359	10.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	18	Amp			N	N	N
57	E9	false		Target 1	STANDARD	FAM	NFQ-MGB	24.006	24.075	0.359	10.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	18	Amp			N	N	N
58	E10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.522	12.550	3.957	3,403.753			27.716	0.998	-3.736	85.226	true	0.349	true	3	9	Amp			N	Y	N
59	E11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.934	12.550	3.957	2,640.296			27.716	0.998	-3.736	85.226	true	0.349	true	3	9	Amp			N	Y	N
60	E12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.663	12.550	3.957	3,121.142			27.716	0.998	-3.736	85.226	true	0.349	true	3	9	Amp			N	Y	N
61	F1	false		Target 1	STANDARD	FAM	NFQ-MGB	27.413	27.770	0.479	1.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	21	Amp			N	N	N
62	F2	false		Target 1	STANDARD	FAM	NFQ-MGB	28.730	27.770	0.479	1.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	23	Amp			Y	N	N
63	F3	false		Target 1	STANDARD	FAM	NFQ-MGB	27.560	27.770	0.479	1.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	21	Amp			N	N	N
64	F4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.319	12.550	3.957	84,128.352			27.716	0.998	-3.736	85.226	true	0.349	true	3	5	Amp			N	Y	N
65	F5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.496	12.550	3.957	75,407.828			27.716	0.998	-3.736	85.226	true	0.349	true	3	5	Amp			N	Y	N
66	F6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.539	12.550	3.957	73,432.336			27.716	0.998	-3.736	85.226	true	0.349	true	3	5	Amp			N	Y	N
67	F7	false		Target 1	STANDARD	FAM	NFQ-MGB	27.607	27.770	0.479	1.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	21	Amp			N	N	N
68	F8	false		Target 1	STANDARD	FAM	NFQ-MGB	27.698	27.770	0.479	1.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	22	Amp			N	N	N
69	F9	false		Target 1	STANDARD	FAM	NFQ-MGB	27.615	27.770	0.479	1.000			27.716	0.998	-3.736	85.226	true	0.349	true	3	22	Amp			N	N	N
70	F10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.166	12.550	3.957	4,238.644			27.716	0.998	-3.736	85.226	true	0.349	true	3	8	Amp			N	Y	N
71	F11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.491	12.550	3.957	3,469.254			27.716	0.998	-3.736	85.226	true	0.349	true	3	9	Amp			N	Y	N
72	F12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.409	12.550	3.957	3,649.905			27.716	0.998	-3.736	85.226	true	0.349	true	3	9	Amp			N	Y	N
73	G1	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						27.716	0.998	-3.736	85.226	true	0.349	true	3	39	No Amp			N	N	Y
74	G2	false		Target 1	NTC	FAM	NFQ-MGB	Undetermined						27.716	0.998	-3.736	85.226	true	0.349	true	3	39	No Amp			N	N	Y
