* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:12 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC4_9_20161206.eds
* Experiment Name = ERCC4_9_20161206
* Experiment Run End Time = 2016-12-06 15:59:53 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
66	      F6	2	580,208.688	205,740.984
67	      F7	2	561,196.188	720,887.750
68	      F8	2	565,566.562	733,563.250
69	      F9	2	567,305.500	747,943.188
70	      F10	2	593,905.812	778,825.188
71	      F11	2	517,185.781	703,730.500
72	      F12	2	499,238.125	698,309.125
73	      G1	2	422,762.594	170,542.062
74	      G2	2	465,551.312	184,588.250
75	      G3	2	491,305.188	182,928.984
76	      G4	2	534,476.500	198,022.594
77	      G5	2	569,448.375	212,915.438
78	      G6	2	552,617.625	201,895.125
79	      G7	2	534,190.500	689,776.562
80	      G8	2	534,671.312	695,745.625
81	      G9	2	519,830.562	691,008.812
82	      G10	2	547,426.750	745,220.312
83	      G11	2	505,038.719	700,825.875
84	      G12	2	469,204.000	652,102.312
85	      H1	2	381,050.281	161,866.500
86	      H2	2	416,850.438	165,037.641
87	      H3	2	451,994.031	168,510.203
88	      H4	2	472,298.000	185,733.766
89	      H5	2	518,034.969	190,648.734
90	      H6	2	447,667.719	169,057.500
91	      H7	2	499,876.594	655,654.625
92	      H8	2	526,500.500	699,619.312
93	      H9	2	507,447.094	680,998.250
94	      H10	2	487,603.625	676,879.938
95	      H11	2	476,292.844	663,697.062
96	      H12	2	439,254.844	620,282.812
1	      A1	3	472,379.656	212,023.469
2	      A2	3	491,920.312	209,263.891
3	      A3	3	508,931.500	209,460.562
4	      A4	3	545,292.000	223,964.312
5	      A5	3	548,486.562	220,611.609
6	      A6	3	582,755.000	224,498.344
7	      A7	3	607,086.000	819,860.125
8	      A8	3	566,629.750	764,391.062
9	      A9	3	576,707.500	788,021.188
10	      A10	3	543,146.812	762,266.938
11	      A11	3	539,569.125	802,325.500
12	      A12	3	500,706.844	747,291.125
13	      B1	3	450,743.969	188,432.484
14	      B2	3	463,619.656	182,487.922
15	      B3	3	520,784.812	201,105.094
16	      B4	3	560,488.688	213,523.609
17	      B5	3	555,601.375	207,448.547
18	      B6	3	580,392.375	215,425.453
19	      B7	3	591,447.000	774,250.812
20	      B8	3	611,413.438	804,317.312
21	      B9	3	593,320.750	792,695.062
