* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 22:44:59 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC_1_6_20161202.eds
* Experiment Name = 2016-12-02_104248
* Experiment Run End Time = 2016-12-02 12:18:47 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Multicomponent Data]
Well	Well Position	Cycle	ROX	FAM
76	      G4	2	526,741.562	722,411.812
77	      G5	2	548,511.562	746,311.500
78	      G6	2	551,936.438	741,690.125
79	      G7	2	532,194.250	831,287.438
80	      G8	2	538,905.688	833,589.375
81	      G9	2	527,663.500	829,433.688
82	      G10	2	539,716.000	865,718.312
83	      G11	2	497,895.031	802,734.500
84	      G12	2	461,615.875	771,298.312
85	      H1	2	385,611.906	580,567.312
86	      H2	2	424,592.969	610,932.438
87	      H3	2	453,252.625	631,815.188
88	      H4	2	489,536.344	681,985.312
89	      H5	2	483,859.781	674,663.125
90	      H6	2	492,485.000	677,598.125
91	      H7	2	494,398.250	782,034.188
92	      H8	2	518,553.969	821,094.688
93	      H9	2	510,862.375	813,285.188
94	      H10	2	474,309.656	769,693.438
95	      H11	2	463,174.094	765,837.375
96	      H12	2	456,477.531	759,536.750
1	      A1	3	459,790.812	707,654.062
2	      A2	3	486,975.844	708,317.562
3	      A3	3	502,125.375	733,049.375
4	      A4	3	542,091.438	790,652.688
5	      A5	3	562,162.625	800,722.188
6	      A6	3	578,734.000	815,174.812
7	      A7	3	568,567.438	905,703.000
8	      A8	3	567,578.812	900,344.375
9	      A9	3	572,970.062	918,876.000
10	      A10	3	543,013.188	886,898.812
11	      A11	3	532,029.188	903,171.500
12	      A12	3	502,689.656	913,420.500
13	      B1	3	454,090.625	672,225.438
14	      B2	3	453,454.250	635,080.312
15	      B3	3	520,485.281	723,643.312
16	      B4	3	558,135.188	773,787.500
17	      B5	3	571,695.938	780,531.125
18	      B6	3	576,687.062	784,246.375
19	      B7	3	593,320.688	918,020.312
20	      B8	3	572,135.938	876,123.312
21	      B9	3	584,497.938	910,734.688
22	      B10	3	563,283.125	901,803.125
23	      B11	3	530,194.375	877,783.812
24	      B12	3	494,899.000	821,152.875
25	      C1	3	461,725.562	668,692.188
26	      C2	3	492,829.219	706,536.750
27	      C3	3	532,142.938	729,872.812
28	      C4	3	572,990.062	786,189.500
29	      C5	3	599,491.812	807,712.562
30	      C6	3	586,401.500	783,595.812
31	      C7	3	592,089.688	902,216.812
32	      C8	3	627,402.000	965,771.812
33	      C9	3	603,465.688	931,790.375
34	      C10	3	586,530.062	928,421.312
35	      C11	3	553,672.500	899,490.062
36	      C12	3	525,541.312	879,909.188
37	      D1	3	454,869.031	650,448.750
