* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 10:36:32 AM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P2_20161208.eds
* Experiment Name = Nate_QDNA_P2_20161208
* Experiment Run End Time = 2016-12-08 16:33:54 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Amplification Data]
Well	Well Position	Cycle	Target Name	Rn	Delta Rn
3	A3	40	Target 1	20,004,768.000	19,807,466.000
4	A4	1	Target 1	150,564.734	5,320.405
4	A4	2	Target 1	151,058.938	3,706.798
4	A4	3	Target 1	151,221.266	1,761.316
4	A4	4	Target 1	151,533.469	-34.290
4	A4	5	Target 1	152,676.281	-999.288
4	A4	6	Target 1	153,544.609	-2,238.770
4	A4	7	Target 1	156,697.172	-1,194.017
4	A4	8	Target 1	162,704.047	2,705.048
4	A4	9	Target 1	173,258.484	11,151.676
4	A4	10	Target 1	193,845.703	29,631.086
4	A4	11	Target 1	232,677.938	66,355.508
4	A4	12	Target 1	306,851.469	138,421.234
4	A4	13	Target 1	448,800.594	278,262.531
4	A4	14	Target 1	717,007.625	544,361.750
4	A4	15	Target 1	1,216,185.500	1,041,431.812
4	A4	16	Target 1	2,118,701.000	1,941,839.500
4	A4	17	Target 1	3,653,962.500	3,474,993.250
4	A4	18	Target 1	6,021,256.500	5,840,179.500
4	A4	19	Target 1	9,174,397.000	8,991,212.000
4	A4	20	Target 1	12,579,819.000	12,394,526.000
4	A4	21	Target 1	15,495,564.000	15,308,163.000
4	A4	22	Target 1	17,457,642.000	17,268,134.000
4	A4	23	Target 1	18,544,492.000	18,352,876.000
4	A4	24	Target 1	19,170,150.000	18,976,426.000
4	A4	25	Target 1	19,666,746.000	19,470,914.000
4	A4	26	Target 1	20,116,698.000	19,918,758.000
4	A4	27	Target 1	20,474,618.000	20,274,570.000
4	A4	28	Target 1	20,747,398.000	20,545,242.000
4	A4	29	Target 1	20,951,194.000	20,746,930.000
4	A4	30	Target 1	21,085,086.000	20,878,716.000
4	A4	31	Target 1	21,192,840.000	20,984,362.000
4	A4	32	Target 1	21,265,362.000	21,054,776.000
4	A4	33	Target 1	21,312,148.000	21,099,454.000
4	A4	34	Target 1	21,319,384.000	21,104,582.000
4	A4	35	Target 1	21,304,462.000	21,087,552.000
4	A4	36	Target 1	21,286,964.000	21,067,946.000
4	A4	37	Target 1	21,272,454.000	21,051,328.000
4	A4	38	Target 1	21,252,274.000	21,029,040.000
4	A4	39	Target 1	21,218,230.000	20,992,888.000
4	A4	40	Target 1	21,198,660.000	20,971,212.000
5	A5	1	Target 1	147,294.031	2,591.779
5	A5	2	Target 1	147,219.719	2,027.773
5	A5	3	Target 1	146,063.000	381.361
5	A5	4	Target 1	145,957.375	-213.957
5	A5	5	Target 1	146,693.328	32.302
5	A5	6	Target 1	146,819.141	-331.578
5	A5	7	Target 1	147,155.688	-484.725
5	A5	8	Target 1	148,746.703	616.597
5	A5	9	Target 1	152,495.172	3,875.373
5	A5	10	Target 1	160,906.250	11,796.758
5	A5	11	Target 1	175,115.406	25,516.221
5	A5	12	Target 1	203,344.000	53,255.121
