* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:00:17 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC3_8_20161206.eds
* Experiment Name = ERCC3_8_20161206
* Experiment Run End Time = 2016-12-06 14:12:41 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

7	A7	12	Target 1	1.852	0.770
7	A7	13	Target 1	2.337	1.247
7	A7	14	Target 1	2.931	1.833
7	A7	15	Target 1	3.577	2.472
7	A7	16	Target 1	4.217	3.104
7	A7	17	Target 1	4.812	3.691
7	A7	18	Target 1	5.347	4.218
7	A7	19	Target 1	5.806	4.669
7	A7	20	Target 1	6.199	5.054
7	A7	21	Target 1	6.527	5.374
7	A7	22	Target 1	6.787	5.627
7	A7	23	Target 1	7.022	5.853
7	A7	24	Target 1	7.196	6.019
7	A7	25	Target 1	7.317	6.132
7	A7	26	Target 1	7.431	6.239
7	A7	27	Target 1	7.530	6.330
7	A7	28	Target 1	7.608	6.400
7	A7	29	Target 1	7.678	6.462
7	A7	30	Target 1	7.727	6.503
7	A7	31	Target 1	7.780	6.548
7	A7	32	Target 1	7.829	6.589
7	A7	33	Target 1	7.881	6.633
7	A7	34	Target 1	7.919	6.664
7	A7	35	Target 1	7.957	6.693
7	A7	36	Target 1	7.988	6.716
7	A7	37	Target 1	8.023	6.743
7	A7	38	Target 1	8.060	6.772
7	A7	39	Target 1	8.098	6.802
7	A7	40	Target 1	8.118	6.815
8	A8	1	Target 1	1.003	-0.014
8	A8	2	Target 1	1.004	-0.013
8	A8	3	Target 1	1.009	-0.008
8	A8	4	Target 1	1.016	-0.000
8	A8	5	Target 1	1.025	0.008
8	A8	6	Target 1	1.039	0.022
8	A8	7	Target 1	1.061	0.044
8	A8	8	Target 1	1.102	0.086
8	A8	9	Target 1	1.178	0.161
8	A8	10	Target 1	1.316	0.299
8	A8	11	Target 1	1.553	0.537
8	A8	12	Target 1	1.919	0.902
8	A8	13	Target 1	2.427	1.410
8	A8	14	Target 1	3.035	2.019
8	A8	15	Target 1	3.691	2.675
8	A8	16	Target 1	4.329	3.312
8	A8	17	Target 1	4.915	3.898
8	A8	18	Target 1	5.434	4.418
8	A8	19	Target 1	5.878	4.861
8	A8	20	Target 1	6.261	5.245
8	A8	21	Target 1	6.587	5.571
8	A8	22	Target 1	6.844	5.828
8	A8	23	Target 1	7.064	6.048
8	A8	24	Target 1	7.236	6.219
8	A8	25	Target 1	7.357	6.341
8	A8	26	Target 1	7.464	6.447
8	A8	27	Target 1	7.552	6.535
8	A8	28	Target 1	7.622	6.605
8	A8	29	Target 1	7.695	6.678
8	A8	30	Target 1	7.755	6.738
8	A8	31	Target 1	7.808	6.792
8	A8	32	Target 1	7.862	6.845
8	A8	33	Target 1	7.906	6.889
8	A8	34	Target 1	7.933	6.916
8	A8	35	Target 1	7.971	6.954
8	A8	36	Target 1	8.015	6.998
8	A8	37	Target 1	8.049	7.032
8	A8	38	Target 1	8.077	7.060
8	A8	39	Target 1	8.103	7.087
8	A8	40	Target 1	8.127	7.110
9	A9	1	Target 1	1.021	-0.013
9	A9	2	Target 1	1.021	-0.013
9	A9	3	Target 1	1.027	-0.007
9	A9	4	Target 1	1.033	-0.001
9	A9	5	Target 1	1.043	0.009
9	A9	6	Target 1	1.055	0.020
9	A9	7	Target 1	1.077	0.042
9	A9	8	Target 1	1.117	0.083
9	A9	9	Target 1	1.193	0.159
9	A9	10	Target 1	1.333	0.299
9	A9	11	Target 1	1.570	0.536
9	A9	12	Target 1	1.939	0.905
9	A9	13	Target 1	2.446	1.411
9	A9	14	Target 1	3.052	2.018
9	A9	15	Target 1	3.704	2.670
9	A9	16	Target 1	4.339	3.305
9	A9	17	Target 1	4.929	3.895
9	A9	18	Target 1	5.456	4.422
9	A9	19	Target 1	5.903	4.868
9	A9	20	Target 1	6.285	5.250
9	A9	21	Target 1	6.600	5.566
9	A9	22	Target 1	6.866	5.832
9	A9	23	Target 1	7.091	6.057
9	A9	24	Target 1	7.265	6.231
9	A9	25	Target 1	7.385	6.351
9	A9	26	Target 1	7.494	6.460
9	A9	27	Target 1	7.581	6.547
9	A9	28	Target 1	7.663	6.628
9	A9	29	Target 1	7.735	6.701
9	A9	30	Target 1	7.796	6.761
9	A9	31	Target 1	7.844	6.810
9	A9	32	Target 1	7.891	6.856
9	A9	33	Target 1	7.936	6.902
9	A9	34	Target 1	7.974	6.940
9	A9	35	Target 1	8.010	6.976
9	A9	36	Target 1	8.049	7.015
9	A9	37	Target 1	8.086	7.052
9	A9	38	Target 1	8.112	7.078
9	A9	39	Target 1	8.143	7.109
9	A9	40	Target 1	8.172	7.138
10	A10	1	Target 1	1.050	0.015
10	A10	2	Target 1	1.050	0.008
10	A10	3	Target 1	1.052	0.002
10	A10	4	Target 1	1.056	-0.002
10	A10	5	Target 1	1.063	-0.002
10	A10	6	Target 1	1.074	0.002
10	A10	7	Target 1	1.093	0.013
10	A10	8	Target 1	1.126	0.038
10	A10	9	Target 1	1.181	0.086
10	A10	10	Target 1	1.287	0.185
10	A10	11	Target 1	1.479	0.369
10	A10	12	Target 1	1.793	0.676
10	A10	13	Target 1	2.245	1.120
10	A10	14	Target 1	2.821	1.689
10	A10	15	Target 1	3.467	2.328
10	A10	16	Target 1	4.125	2.978
10	A10	17	Target 1	4.751	3.597
10	A10	18	Target 1	5.315	4.154
10	A10	19	Target 1	5.806	4.637
10	A10	20	Target 1	6.227	5.050
10	A10	21	Target 1	6.580	5.397
10	A10	22	Target 1	6.870	5.678
10	A10	23	Target 1	7.111	5.912
10	A10	24	Target 1	7.301	6.095
10	A10	25	Target 1	7.458	6.245
10	A10	26	Target 1	7.589	6.368
10	A10	27	Target 1	7.678	6.450
10	A10	28	Target 1	7.761	6.525
10	A10	29	Target 1	7.834	6.591
10	A10	30	Target 1	7.898	6.648
10	A10	31	Target 1	7.965	6.707
10	A10	32	Target 1	8.015	6.750
10	A10	33	Target 1	8.053	6.780
10	A10	34	Target 1	8.094	6.814
10	A10	35	Target 1	8.134	6.846
10	A10	36	Target 1	8.172	6.877
10	A10	37	Target 1	8.209	6.906
10	A10	38	Target 1	8.240	6.930
10	A10	39	Target 1	8.264	6.947
10	A10	40	Target 1	8.290	6.966
11	A11	1	Target 1	1.094	-0.021
11	A11	2	Target 1	1.095	-0.019
