* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-02 19:01:23 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\ERCC5_10_20161206.eds
* Experiment Name = ERCC5_10_20161206
* Experiment Run End Time = 2016-12-06 17:44:20 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	AMPNC	HIGHSD	CQCONF
33	C9	false		Target 1	STANDARD	FAM	NFQ-MGB	18.192	17.838	0.471	1,000.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	12	Amp			N	N	N
34	C10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	13.050	12.687	4.359	17,284.244	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	7	Amp			N	Y	N
35	C11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	13.048	12.687	4.359	17,305.604	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	7	Amp			N	Y	N
36	C12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	13.030	12.687	4.359	17,494.365	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	7	Amp			N	Y	N
37	D1	false		Target 1	STANDARD	FAM	NFQ-MGB	20.841	21.262	0.538	100.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	14	Amp			N	Y	N
38	D2	false		Target 1	STANDARD	FAM	NFQ-MGB	20.933	21.262	0.538	100.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	15	Amp			N	Y	N
39	D3	false		Target 1	STANDARD	FAM	NFQ-MGB	20.774	21.262	0.538	100.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	15	Amp			N	Y	N
40	D4	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.955	12.687	4.359	33,996.715	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	7	Amp			N	Y	N
41	D5	false		Target 1	UNKNOWN	FAM	NFQ-MGB	9.078	12.687	4.359	201,065.047	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	5	Amp			N	Y	N
42	D6	false		Target 1	UNKNOWN	FAM	NFQ-MGB	11.066	12.687	4.359	58,860.305	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	6	Amp			N	Y	N
43	D7	false		Target 1	STANDARD	FAM	NFQ-MGB	21.613	21.262	0.538	100.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	15	Amp			N	Y	N
44	D8	false		Target 1	STANDARD	FAM	NFQ-MGB	22.156	21.262	0.538	100.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	16	Amp			N	Y	N
45	D9	false		Target 1	STANDARD	FAM	NFQ-MGB	21.255	21.262	0.538	100.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	15	Amp			N	Y	N
46	D10	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.079	12.687	4.359	9,152.804	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	8	Amp			N	Y	N
47	D11	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.884	12.687	4.359	5,564.669	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	9	Amp			N	Y	N
48	D12	false		Target 1	UNKNOWN	FAM	NFQ-MGB	14.665	12.687	4.359	6,372.039	99,633.336	120,036.219	28.842	0.997	-3.727	85.496	true	0.382	true	3	9	Amp			N	Y	N
49	E1	false		Target 1	STANDARD	FAM	NFQ-MGB	24.884	25.025	0.119	10.000			28.842	0.997	-3.727	85.496	true	0.382	true	3	18	Amp			N	N	N
